@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
0.6905,2.5312,1.591,7.3289,-0.2364,-1.3207,4.0251,2.0063,7.7017,-19.9809,-1.212,4.7054,2.1692,10.9025,-1.5815,2.6896,7.7177,2.7781,9.2934,0.0177,-0.5228,-0.5697,0.2567,1.0897,-0.491,-0.4506,0.793,0.7334,0.5727,0.9249,0.7222,0.7808,0.6288,0.5379,0.328,0.8554,0.5215,0.6097,0.1911,0.2098,-8.3831,1.0981,-43.8728,-39.9525,16.1474,1.4035,0.6265,0.0869,0.0388,0.4464,0.9516,0.6722,0.7886,0.7064,0.8287,1.1731,0.0128,4.0111,-0.6867,0.3723,0.5608,0.3724,-0.939,-0.5031,35.6786,28.5836,5.3464,25.3598,0.3401,PANTALONI
0.0718,5.3343,2.3096,18.9911,-0.461,0.8447,12.3138,3.5091,22.6938,-1.5407,0.8218,5.6509,2.3772,16.6028,-1.0051,4.4087,5.256,2.2926,15.5254,0.0202,0.085,0.0874,0.0163,1.0279,0.1916,0.1864,0.6582,0.9716,1.0074,1.4762,1.5306,1.0369,0.4332,0.944,1.0149,2.1791,2.3428,1.0751,0.4355,0.7201,-18.6803,1.6536,-42.8978,-25.9423,1.4552,1.5698,0.8203,1.0787,0.5637,0.5226,0.8368,1.1438,1.2232,1.3669,1.4617,1.0694,0.004,6.6786,-0.4311,0.2619,0.4041,-0.0417,-0.0965,-0.0804,0.0884,0.1486,0.3855,5,0,PANTALONI
-0.2914,2.0428,1.4293,8.7144,-1.1735,-0.3546,3.5829,1.8929,10.7868,-0.9808,-0.1057,3.8105,1.952,11.8154,-0.5846,2.3513,4.1295,2.0321,8.7337,0.0147,0.8219,2.7563,-0.1239,3.3534,-0.1508,-0.045,0.7551,0.7322,0.7033,0.9697,0.9315,0.9606,0.5702,0.5361,0.4947,0.9403,0.8676,0.9227,0.8809,1.0794,-36.0137,1.2253,-40.881,-33.3646,0.7362,0.5377,0.4523,0.7303,0.6143,0.8412,0.8079,0.7375,0.9978,0.9129,1.2351,1.3529,0.0017,3.6951,-0.3202,-0.2125,-0.3316,0.5196,0.0819,0.2852,3.4107,0.3063,0.5535,2,0.5,PANTALONI
-0.0014,0.1025,0.3201,1.5404,-0.4724,-0.0049,0.0698,0.2642,1.5755,-0.9043,0.0237,0.0364,0.1908,1.1718,-0.9558,0.384,0.0618,0.2486,1.02,0.0282,0.2768,-0.0573,-0.0035,-0.207,-0.0128,0.0618,1.2117,1.6778,1.2877,1.3847,1.0627,0.7675,1.4682,2.8151,1.6582,1.9174,1.1294,0.589,0.6606,0.8631,-16.7072,1.3065,-25.2909,-19.3581,1.2645,1.746,0.9967,1.3808,0.7882,0.5708,0.9777,1.3145,1.5101,1.3445,1.5445,1.1488,0.0001,0.5883,0.2967,0.1799,0.7023,0.9896,0.2569,0.1762,1,0,0,0,1,PANTALONI
0.1673,0.0428,0.2069,1.2144,-0.695,-0.3618,0.5939,0.7706,5.2726,-0.7646,0.1289,0.0364,0.1909,1.4818,-0.3127,0.7269,0.3202,0.5659,3.0255,0.0154,-0.4625,1.2985,0.2302,-2.8076,-0.4977,0.1773,0.2685,1.0841,0.3657,4.0376,1.3618,0.3373,0.0721,1.1754,0.1337,16.3022,1.8546,0.1138,0.218,1.4105,-10.5242,6.4712,-48.2833,-7.4612,0.2398,0.6347,0.2332,2.6471,0.9724,0.3674,0.2303,0.8196,0.4014,3.5581,1.7427,0.4898,0.0014,0.9846,0.2876,-0.4322,-0.0351,0.0197,-0.0453,0.2092,?,?,?,?,?,PANTALONI
-0.2997,3.0125,1.7356,8.658,-1.0096,-1.0384,4.9717,2.2297,13.4308,-1.1105,-0.1693,5.4768,2.3403,18.4689,-0.4276,3.1574,4.6887,2.1653,13.4131,0.0132,0.2886,1.7701,-0.0949,6.1338,-0.3289,-0.0536,0.7784,0.7416,0.8016,0.9528,1.0297,1.0808,0.6059,0.55,0.6425,0.9078,1.0604,1.1681,0.6155,0.7863,-24.2421,1.2775,-39.3864,-30.8302,0.677,0.333,0.317,0.4919,0.4682,0.9518,0.6446,0.4688,0.6455,0.7272,1.0013,1.3769,0.0038,4.797,0.2918,-0.4745,-0.295,0.2553,-0.3807,0.3063,?,?,?,?,?,PANTALONI
0.0888,7.8361,2.7993,14.2588,-1.0215,-1.1079,22.9858,4.7943,20.4621,-1.2026,-0.3458,8.0138,2.8309,16.9482,-0.7614,5.2221,12.9204,3.5945,12.0473,0.0163,-0.0801,-0.2567,0.017,3.2039,-0.2121,-0.0662,0.5839,0.9888,0.7788,1.6936,1.3338,0.7876,0.3409,0.9778,0.6065,2.8683,1.779,0.6202,0.6449,0.9835,-36.0975,1.525,-55.9727,-36.7027,0.7593,0.7331,0.5759,0.9655,0.7585,0.7857,0.6968,0.8413,1.1836,1.2073,1.6985,1.4068,0.0041,7.7682,-0.6913,0.258,0.2676,0.3708,-0.3197,0.0274,19.5889,130.5905,11.4276,46,0.2069,PANTALONI
0.5662,4.7344,2.1759,14.6532,-0.9523,-1.4457,18.0417,4.2476,17.7983,-0.9237,-0.1843,9.2391,3.0396,13.6559,-0.6532,4.9589,9.8688,3.1415,11.3217,0.0273,-0.3917,-3.0717,0.1142,7.8424,-0.2915,-0.0372,0.5123,0.7158,0.6926,1.3974,1.3521,0.9676,0.2624,0.5124,0.4797,1.9528,1.8281,0.9362,0.8363,1.3247,-22.4839,1.584,-26.8841,-16.9724,0.8112,0.9086,0.6448,1.12,0.7949,0.7097,0.8233,1.073,1.2943,1.3033,1.5721,1.2062,0.0055,7.3358,-0.461,0.4174,0.4101,0.5083,-0.3627,0.1762,16.3031,2.922,1.7094,8,0.6522,PANTALONI
0.6128,9.2934,3.0485,18.739,-1.1417,-1.8348,21.5405,4.6412,25.447,-0.8772,-0.4232,11.0019,3.3169,17.8315,-0.5255,5.5437,15.024,3.8761,14.5615,0.0125,-0.334,-1.4479,0.1105,4.3354,-0.331,-0.0763,0.6568,0.9191,0.7865,1.3992,1.1974,0.8557,0.4314,0.8447,0.6186,1.9579,1.4337,0.7323,0.8401,1.6262,-54.2064,1.9358,-64.5272,-33.3335,0.6455,0.7486,0.5934,1.1597,0.9193,0.7927,0.7364,1.0509,1.2869,1.4271,1.7476,1.2246,0.0069,8.4546,-0.6738,0.1661,0.4932,0.4148,-0.3556,0.1572,13.8042,3.3742,1.8369,8,0.4667,PANTALONI
0.2233,8.7656,2.9607,17.6749,-1.1853,-1.0524,6.5407,2.5575,19.384,-0.5003,0.4178,12.2438,3.4991,33.4533,-0.2142,4.3159,10.2553,3.2024,30.0375,0.0136,-0.2122,0.5344,0.0517,-2.5187,-0.2438,0.0968,1.1577,0.8461,0.9245,0.7309,0.7986,1.0927,1.3402,0.7159,0.8547,0.5342,0.6378,1.1939,1.4832,1.6246,-23.1092,1.0954,-15.5811,-14.2243,0.626,0.2936,0.2656,0.4689,0.4243,0.9048,0.9118,0.5283,0.5884,0.5794,0.6453,1.1137,0.0041,6.4562,-0.5274,-0.1096,-0.1327,0.4941,0.1885,0.6067,14.7719,100.8638,10.0431,56,0.1642,PANTALONI
-0.0313,5.5484,2.3555,13.9538,-0.5843,-1.9189,7.6438,2.7647,16.4737,-1.4945,0.2723,13.1507,3.6264,31.5225,-0.4605,4.5473,9.4222,3.0696,21.4848,0.0182,0.0163,-0.1149,-0.0069,-7.0461,-0.422,0.0599,0.852,0.6495,0.7674,0.7624,0.9007,1.1814,0.7259,0.4219,0.5889,0.5812,0.8113,1.3957,0.5214,0.5178,-12.9337,0.9931,-24.8041,-24.9769,1.3336,0.4081,0.4025,0.306,0.3018,0.9864,0.847,0.4427,0.6495,0.5226,0.7668,1.4672,0.0069,6.7994,0.3125,-0.2781,-0.0009,0.1135,-0.2384,0.4859,?,?,?,?,?,PANTALONI
-0.553,1.9642,1.4015,8.803,-1.3402,-1.0897,4.0396,2.0099,12.1539,-1.9689,0.1755,5.7237,2.3924,12.987,-0.6095,3.1267,3.4752,1.8642,8.4883,0.0346,0.5075,-3.1517,-0.1769,-6.2103,-0.3485,0.0561,0.6973,0.5858,0.7518,0.8401,1.0781,1.2834,0.4862,0.3432,0.5652,0.7058,1.1624,1.647,0.6255,1.0251,-16.5756,1.6389,-26.5008,-16.1703,0.9188,0.4662,0.4278,0.5074,0.4656,0.9177,0.7243,0.6778,1.0371,0.9359,1.4318,1.53,0.0042,4.7333,0.1747,-0.2248,-0.1836,-0.1226,-0.4239,0.2954,?,?,?,?,?,PANTALONI
0.1512,0.0103,0.1013,0.513,-0.2686,0.0471,0.0364,0.1907,1.2406,-0.7498,0.0293,0.0114,0.1067,0.5492,-0.8838,0.2641,0.0142,0.1192,0.6542,0.0905,3.2102,5.1691,0.5726,1.6102,0.1784,0.1108,0.5314,0.9501,0.8501,1.7878,1.5997,0.8948,0.2824,0.9027,0.7227,3.1962,2.559,0.8006,0.2044,0.4216,-1.6685,2.0631,-8.1649,-3.9576,0.5703,1.3869,0.5621,2.4318,0.9857,0.4053,0.4135,0.934,0.7841,2.2588,1.8963,0.8395,0.0006,0.3974,-0.2973,0.6036,0.5499,-0.0277,0.1009,0.4247,?,?,?,?,?,PANTALONI
0.1797,0.0162,0.1272,0.9339,-0.5568,-0.0909,0.0885,0.2974,1.4264,-1.1428,-0.0262,0.032,0.1788,1.0954,-1.1352,0.3904,0.0254,0.1594,0.7554,0.0791,-1.9761,-6.8539,0.4603,3.4684,-0.2329,-0.0672,0.4277,0.7116,0.798,1.6638,1.8659,1.1215,0.1829,0.5063,0.6369,2.7681,3.4817,1.2578,0.4391,0.5735,-5.1481,1.3062,-11.7245,-8.9761,0.9012,1.1693,0.7313,1.2974,0.8115,0.6254,0.6548,0.8526,1.2363,1.3021,1.8881,1.4501,0.0007,0.5895,-0.0743,0.2659,0.3678,0.3127,-0.0695,0.1119,0,0,0,0,0,PANTALONI
0.2468,0.0153,0.1239,0.6972,-0.1692,0.0469,0.079,0.281,1.6578,-1.7991,0.0671,0.0498,0.2231,1.7413,-0.9446,0.4129,0.0412,0.203,1.0647,0.0862,5.2601,3.6784,0.5977,0.6993,0.1136,0.1625,0.4407,0.5551,0.6102,1.2595,1.3845,1.0992,0.1942,0.3081,0.3723,1.5864,1.9168,1.2082,0.0947,0.1193,-1.0044,1.2598,-10.6055,-8.4186,1.0068,0.6659,0.5118,0.6614,0.5083,0.7685,0.4206,0.4004,0.6548,0.9521,1.5571,1.6355,0.001,0.6238,-0.4579,0.6861,0.4948,-0.3904,-0.2657,0.3258,0,0,0,0,0,PANTALONI
-0.0141,3.7409,1.9341,18.807,-1.1784,-0.2216,8.4217,2.902,15.6839,-0.9636,-0.1709,4.0645,2.0161,14.4633,-1.0828,3.4157,4.639,2.1538,11.0678,0.0071,0.0636,0.0825,-0.0041,1.297,-0.0649,-0.05,0.6665,0.9594,0.898,1.4394,1.3474,0.936,0.4442,0.9204,0.8064,2.072,1.8154,0.8762,1.3218,1.3531,-129.3967,1.0236,-97.8911,-95.6321,1.0809,1.2432,0.7745,1.1502,0.7166,0.623,1.1991,1.3003,1.6993,1.0844,1.4171,1.3068,0.001,4.9922,0.0344,0.1074,-0.2954,0.4062,-0.0897,0.014,0,0,0,0,0,GIACCA
-0.0028,2.843,1.6861,12.2786,-1.3604,-0.4129,7.6334,2.7629,15.2605,-1.6726,-0.1329,2.7169,1.6483,9.1566,-1.303,2.9222,4.8423,2.2005,10.5284,0.0043,0.0069,0.0213,-0.001,3.1067,-0.1413,-0.0455,0.6103,1.023,0.7662,1.6762,1.2555,0.749,0.3724,1.0464,0.5871,2.8096,1.5764,0.5611,0.741,1.366,-155.8198,1.8435,-210.2928,-114.0717,0.911,1.3083,0.492,1.4361,0.54,0.376,0.8046,1.3409,1.1662,1.6666,1.4495,0.8697,0.0015,4.469,0.3443,0.6109,-0.1916,0.3377,-0.3189,-0.3404,0,0,0,0,0,GIACCA
-0.0413,3.2501,1.8028,14.4098,-1.656,-0.1456,5.4338,2.3311,15.4173,-0.8262,-0.0687,4.8263,2.1969,10.47,-0.7947,2.6341,6.5994,2.5689,10.3887,0.0069,0.2839,0.6017,-0.0157,2.1199,-0.0553,-0.0261,0.7734,0.8206,0.7018,1.0611,0.9074,0.8552,0.5981,0.6734,0.4925,1.1259,0.8234,0.7313,1.2881,1.9379,-125.3587,1.5044,-97.3198,-64.6881,0.6426,0.93,0.5187,1.4472,0.8071,0.5577,0.9346,1.3763,1.3871,1.4725,1.484,1.0078,0.0006,3.8821,-0.0809,0.2428,-0.2136,0.1498,0.088,0.0534,0,0,0,0,0,GIACCA
-0.0141,3.7409,1.9341,18.807,-1.1784,-0.2216,8.4217,2.902,15.6839,-0.9636,-0.1709,4.0645,2.0161,14.4633,-1.0828,3.4157,4.639,2.1538,11.0678,0.0071,0.0636,0.0825,-0.0041,1.297,-0.0649,-0.05,0.6665,0.9594,0.898,1.4394,1.3474,0.936,0.4442,0.9204,0.8064,2.072,1.8154,0.8762,1.3218,1.3531,-129.3967,1.0236,-97.8911,-95.6321,1.0809,1.2432,0.7745,1.1502,0.7166,0.623,1.1991,1.3003,1.6993,1.0844,1.4171,1.3068,0.001,4.9922,0.0344,0.1074,-0.2954,0.4062,-0.0897,0.014,0,0,0,0,0,GIACCA
-0.0028,2.843,1.6861,12.2786,-1.3604,-0.4129,7.6334,2.7629,15.2605,-1.6726,-0.1329,2.7169,1.6483,9.1566,-1.303,2.9222,4.8423,2.2005,10.5284,0.0043,0.0069,0.0213,-0.001,3.1067,-0.1413,-0.0455,0.6103,1.023,0.7662,1.6762,1.2555,0.749,0.3724,1.0464,0.5871,2.8096,1.5764,0.5611,0.741,1.366,-155.8198,1.8435,-210.2928,-114.0717,0.911,1.3083,0.492,1.4361,0.54,0.376,0.8046,1.3409,1.1662,1.6666,1.4495,0.8697,0.0015,4.469,0.3443,0.6109,-0.1916,0.3377,-0.3189,-0.3404,0,0,0,0,0,GIACCA
-0.0413,3.2501,1.8028,14.4098,-1.656,-0.1456,5.4338,2.3311,15.4173,-0.8262,-0.0687,4.8263,2.1969,10.47,-0.7947,2.6341,6.5994,2.5689,10.3887,0.0069,0.2839,0.6017,-0.0157,2.1199,-0.0553,-0.0261,0.7734,0.8206,0.7018,1.0611,0.9074,0.8552,0.5981,0.6734,0.4925,1.1259,0.8234,0.7313,1.2881,1.9379,-125.3587,1.5044,-97.3198,-64.6881,0.6426,0.93,0.5187,1.4472,0.8071,0.5577,0.9346,1.3763,1.3871,1.4725,1.484,1.0078,0.0006,3.8821,-0.0809,0.2428,-0.2136,0.1498,0.088,0.0534,0,0,0,0,0,GIACCA
-0.1792,3.2665,1.8074,18.6412,-2.9701,0.5179,11.4769,3.3878,26.8307,-0.3308,-0.082,2.2169,1.4889,10.2114,-0.4861,2.9748,8.4177,2.9013,23.2237,0.0087,-0.346,2.1839,-0.0602,-6.3125,0.1741,-0.0276,0.5335,1.2139,0.6229,2.2753,1.1677,0.5132,0.2846,1.4735,0.3881,5.1771,1.3634,0.2634,2.0911,4.1753,-68.765,1.9967,-32.8846,-16.4694,0.2329,0.6833,0.2004,2.9341,0.8606,0.2933,0.6948,1.8255,0.8027,2.6275,1.1553,0.4397,0.0019,4.5278,-0.8688,-0.2456,-0.4987,0.4937,0.5776,0.2765,0,0,0,0,0,GIACCA
-0.2225,3.7982,1.9489,9.0526,-1.087,0.3827,8.4975,2.915,13.382,-0.9489,-0.1075,1.7183,1.3109,9.6993,-1.4715,3.0235,5.0798,2.2538,8.2929,0.0093,-0.5814,2.0707,-0.0736,-3.5614,0.1266,-0.0355,0.6686,1.4867,0.8647,2.2238,1.2934,0.5816,0.447,2.2104,0.7477,4.9451,1.6728,0.3383,0.7237,0.8165,-60.4536,1.1283,-83.5398,-74.0421,0.6317,1.1053,0.5182,1.7496,0.8203,0.4688,0.6765,0.9333,1.0916,1.3797,1.6137,1.1696,0.0016,4.6338,-0.9166,-0.2466,-0.1628,0.3683,0.1474,0.0457,0,0,0,0,0,GIACCA
0.1018,0.0085,0.0919,0.4569,-0.5468,0.1819,0.038,0.1949,1.1032,-0.5286,0.0838,0.0123,0.1108,0.6028,-0.3872,0.2984,0.0201,0.1419,0.7876,0.0548,0.5599,1.2148,0.3413,2.1696,0.6095,0.2809,0.4717,0.8301,0.6478,1.7598,1.3732,0.7803,0.2225,0.6891,0.4196,3.0967,1.8856,0.6089,0.4234,0.9599,-3.5345,2.2673,-8.3482,-3.6821,0.4093,0.6798,0.3545,1.6609,0.8661,0.5214,0.4142,0.758,0.5801,1.8302,1.4007,0.7653,0.0008,0.4523,-0.0398,0.6045,0.2777,0.3826,0.7457,0.6581,0,0,0,0,0,GIACCA
0.125,0.0081,0.0902,0.4438,-0.3309,-0.0563,0.0227,0.1506,0.7264,-1.1289,0.0021,0.0082,0.0905,0.5299,-0.7972,0.2195,0.0096,0.0982,0.4266,0.0855,-2.2205,58.2043,0.5697,-26.2122,-0.2565,0.0098,0.5988,0.9967,0.9184,1.6643,1.5337,0.9215,0.3586,0.9933,0.8435,2.77,2.3522,0.8492,0.2864,0.4695,-2.7664,1.6389,-9.658,-5.8928,0.9773,1.131,0.7148,1.1573,0.7314,0.632,0.6109,0.8376,1.0403,1.3709,1.7027,1.242,0.0005,0.3312,-0.5858,0.5268,0.5796,-0.1141,-0.5855,0.232,0,0,0,0,0,GIACCA
0.5472,3.9448,1.9862,14.2554,-1.3018,-2.2083,22.4191,4.7349,24.3564,-6.1771,0.1909,9.659,3.1079,17.4979,-0.6423,4.4378,21.5417,4.6413,21.1778,0.0052,-0.2478,2.866,0.1233,-11.5658,-0.4976,0.043,0.4195,0.6391,0.4279,1.5235,1.0202,0.6696,0.176,0.4084,0.1831,2.3211,1.0407,0.4484,0.3846,1.1781,-73.4718,3.0632,-191.0352,-62.3654,1.8249,0.5813,0.2909,0.3185,0.1594,0.5005,0.5853,0.8147,0.6731,1.392,1.1501,0.8262,0.008,6.5899,-0.0613,-0.0488,0.1782,-0.133,-0.8712,0.2497,?,?,?,?,?,GIACCA
0.9895,5.9373,2.4366,16.1735,-0.656,-1.953,23.6534,4.8635,23.7328,-5.1356,-0.0662,10.3317,3.2143,21.5118,-0.6487,4.0872,28.0149,5.2929,23.2398,0.0019,-0.5067,-14.9563,0.2421,29.5185,-0.4778,-0.0162,0.501,0.7581,0.4604,1.5131,0.9189,0.6073,0.251,0.5747,0.2119,2.2894,0.8443,0.3688,0.3225,0.757,-144.85,2.347,-449.1007,-191.3539,2.5249,0.7485,0.4194,0.2965,0.1661,0.5604,0.6815,0.7518,0.6959,1.1032,1.0212,0.9256,0.0077,6.3222,-0.4074,-0.0796,0.5786,-0.3088,-0.893,0.2933,0,0,0,0,0,GIACCA
0.5472,3.9448,1.9862,14.2554,-1.3018,-2.2083,22.4191,4.7349,24.3564,-6.1771,0.1909,9.659,3.1079,17.4979,-0.6423,4.4378,21.5417,4.6413,21.1778,0.0052,-0.2478,2.866,0.1233,-11.5658,-0.4976,0.043,0.4195,0.6391,0.4279,1.5235,1.0202,0.6696,0.176,0.4084,0.1831,2.3211,1.0407,0.4484,0.3846,1.1781,-73.4718,3.0632,-191.0352,-62.3654,1.8249,0.5813,0.2909,0.3185,0.1594,0.5005,0.5853,0.8147,0.6731,1.392,1.1501,0.8262,0.008,6.5899,-0.0613,-0.0488,0.1782,-0.133,-0.8712,0.2497,?,?,?,?,?,GIACCA
0.9895,5.9373,2.4366,16.1735,-0.656,-1.953,23.6534,4.8635,23.7328,-5.1356,-0.0662,10.3317,3.2143,21.5118,-0.6487,4.0872,28.0149,5.2929,23.2398,0.0019,-0.5067,-14.9563,0.2421,29.5185,-0.4778,-0.0162,0.501,0.7581,0.4604,1.5131,0.9189,0.6073,0.251,0.5747,0.2119,2.2894,0.8443,0.3688,0.3225,0.757,-144.85,2.347,-449.1007,-191.3539,2.5249,0.7485,0.4194,0.2965,0.1661,0.5604,0.6815,0.7518,0.6959,1.1032,1.0212,0.9256,0.0077,6.3222,-0.4074,-0.0796,0.5786,-0.3088,-0.893,0.2933,0,0,0,0,0,GIACCA
0.5791,17.2704,4.1558,20.9945,-1.2115,-1.3571,11.4402,3.3823,17.5014,-1.63,0.5576,18.8623,4.3431,25.9961,-1.1311,5.5907,18.8052,4.3365,19.9587,0.0273,-0.4267,1.0385,0.1036,-2.4336,-0.2427,0.0997,1.2287,0.9569,0.9583,0.7788,0.78,1.0015,1.5096,0.9156,0.9184,0.6065,0.6084,1.003,1.0603,0.8335,-20.5678,0.7861,-19.3979,-24.6752,1.4266,0.7783,0.4627,0.5455,0.3243,0.5945,1.1996,0.8076,1.0519,0.6732,0.8769,1.3025,0.0053,8.7532,0.6215,0.7233,0.0249,0.3363,-0.4569,0.1132,0.078,0.0719,0.2681,1,0,GIACCA
