@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.0225,0.9412,0.9702,5.1789,-1.7041,0.1174,16.7097,4.0877,22.2273,-1.0841,-0.2213,8.4467,2.9063,14.4451,-0.9226,3.9847,10.283,3.2067,13.2717,0.0352,-0.1915,0.1016,-0.0056,-0.5306,0.0295,-0.0555,0.2373,0.3338,0.3025,1.4065,1.2747,0.9063,0.0563,0.1114,0.0915,1.9782,1.625,0.8214,0.2823,0.4708,-6.7338,1.668,-23.855,-14.3019,0.1796,0.2549,0.1392,1.4195,0.7753,0.5462,0.233,0.3585,0.3902,1.5387,1.6748,1.0884,0.0052,6.1246,0.5119,-0.5062,-0.1234,-0.9792,-0.2511,0.2436,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
0.0854,0.3723,0.6101,3.1583,-0.7497,0.2733,1.9314,1.3898,6.417,-0.8212,-0.1704,0.8745,0.9351,3.8814,-1.001,1.5076,1.0163,1.0081,3.612,0.0231,0.3125,-0.5013,0.0567,-1.604,0.1813,-0.113,0.439,0.6525,0.6052,1.4862,1.3786,0.9276,0.1927,0.4257,0.3663,2.2087,1.9005,0.8605,0.4677,0.697,-15.8412,1.4902,-33.8697,-22.7285,0.5123,0.9306,0.4882,1.8165,0.953,0.5246,0.4922,0.8137,0.8744,1.6533,1.7766,1.0746,0.0069,2.2962,-0.5996,0.5716,0.1345,-0.8658,0.2383,-0.1267,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-2.3442,2.5077,1.5836,6.8629,-2.9692,-0.8584,25.8164,5.081,14.2365,-1.3977,1.4586,5.5607,2.3581,6.6051,-0.4257,6.2372,3.3426,1.8283,6.3818,0.3262,2.7308,-1.6072,-0.3758,-0.5885,-0.1376,0.2339,0.3117,0.6715,0.8662,2.1547,2.7791,1.2898,0.0971,0.451,0.7502,4.6426,7.7235,1.6636,0.6186,2.6029,-1.6619,4.2077,-2.6865,-0.6385,0.2912,0.3732,0.1826,1.2816,0.6269,0.4892,0.4821,1.039,1.0754,2.1554,2.2308,1.035,0.0578,9.551,0.043,-0.1858,0.2836,-0.9848,-0.7394,0.6971,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-0.1673,65.0215,8.0636,26.5204,-1.4607,-2.338,129.8056,11.3932,37.9026,-2.1662,1.6054,81.504,9.028,29.4262,-1.0249,15.7357,36.7908,6.0655,23.8759,0.2107,0.0716,-0.1042,-0.0106,-1.4564,-0.1486,0.102,0.7078,0.8932,1.3294,1.262,1.8784,1.4884,0.5009,0.7978,1.7673,1.5926,3.5282,2.2153,0.6071,1.057,-2.4695,1.7411,-4.0678,-2.3363,0.9003,0.7416,0.3563,0.8237,0.3957,0.4804,0.6997,0.9013,1.1108,1.2881,1.5875,1.2325,0.0618,24.8727,0.9037,0.0814,-0.663,0.2909,-0.783,-0.0123,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
0.4531,1.5717,1.2537,5.069,-0.8008,-0.5211,3.9987,1.9997,7.7682,-0.9958,0.4831,9.2946,3.0487,12.1263,-0.4379,3.5187,3.1939,1.7871,8.1044,0.0414,-0.8695,0.9379,0.1288,-1.0787,-0.1481,0.1373,0.6269,0.4112,0.7015,0.6559,1.1189,1.7059,0.393,0.1691,0.4921,0.4302,1.252,2.9101,0.5816,0.6104,-6.4422,1.0496,-11.0767,-10.5535,0.7232,0.3338,0.3329,0.4615,0.4604,0.9975,0.6525,0.418,0.6255,0.6406,0.9585,1.4963,0.0176,5.1778,-0.9037,-0.0134,0.0609,-0.047,-0.009,0.5911,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0227,0.0102,0.101,0.4,-0.9897,-0.2161,0.018,0.1343,0.6118,-5.6991,0.0099,0.0087,0.0934,0.466,-1.2665,0.269,0.0119,0.1092,0.4461,0.1772,-0.105,2.2827,0.0844,-21.7353,-0.8034,0.037,0.7516,1.081,0.9249,1.4383,1.2306,0.8556,0.5649,1.1686,0.8554,2.0688,1.5143,0.732,0.3823,0.764,-2.0709,1.9987,-5.4174,-2.7105,2.2013,0.9777,0.3708,0.4442,0.1684,0.3792,0.6538,0.8583,0.8967,1.3128,1.3715,1.0447,0.0044,0.3828,0.2123,-0.2822,-0.2049,-0.2277,-0.8831,0.1283,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.5303,1.259,1.122,4.8445,-1.4624,-0.3182,5.0846,2.2549,11.8251,-0.7792,0.5701,10.4826,3.2377,13.7109,-0.4085,3.6336,4.3307,2.081,11.0293,0.0737,-1.6668,0.9302,0.1459,-0.5581,-0.0876,0.1569,0.4976,0.3466,0.5392,0.6965,1.0836,1.5558,0.2476,0.1201,0.2907,0.4851,1.1741,2.4205,0.5556,0.7236,-3.2764,1.3024,-5.8975,-4.528,0.296,0.2021,0.1652,0.6827,0.5582,0.8175,0.4097,0.3533,0.4392,0.8625,1.0721,1.2431,0.0183,5.4418,-0.8415,-0.0678,-0.3157,0.171,0.4356,0.6757,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.1182,4.4472,2.1088,8.1409,-4.832,-2.6355,17.428,4.1747,15.0495,-34.8442,-1.5218,8.2135,2.8659,11.6061,-62.9375,3.6621,27.1899,5.2144,18.5606,0.0097,0.4243,0.7348,-0.3054,1.7318,-0.7197,-0.4156,0.5052,0.7358,0.4044,1.4567,0.8006,0.5496,0.2552,0.5415,0.1636,2.1219,0.641,0.3021,0.461,0.5904,-36.9561,1.2805,-80.1565,-62.5961,3.3247,7.6899,0.0745,2.313,0.0224,0.0097,0.5409,0.7014,0.4386,1.2967,0.8108,0.6253,0.069,5.6754,0.6483,0.397,-0.6724,0.9549,-0.9948,-0.9411,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0997,0.0167,0.1291,0.5496,-3.3362,-0.0529,0.0078,0.0883,0.4213,-1.3021,0.0008,0.0043,0.066,0.2789,-0.791,0.1751,0.0109,0.1044,0.4626,0.039,1.8836,-117.7722,-0.5694,-62.5235,-0.3023,0.0048,1.461,1.9568,1.2361,1.3393,0.8461,0.6317,2.1346,3.829,1.528,1.7938,0.7158,0.3991,1.7745,3.4326,-22.5078,1.9344,-12.6842,-6.557,0.6926,0.8139,0.2633,1.1752,0.3802,0.3235,1.3045,1.9705,1.1881,1.5105,0.9108,0.6029,0.0024,0.2603,0.5706,0.0579,-0.8074,0.8332,-0.4543,-0.0529,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0052,2.6538,1.6291,15.5062,-0.7964,-0.0255,0.5061,0.7114,4.9153,-2.4746,-0.0036,0.0784,0.28,2.0656,-1.6459,0.8103,2.5825,1.607,9.3423,0.0065,-0.2046,-1.4365,0.0064,7.0217,-0.0315,-0.0045,2.2899,5.8182,1.0137,2.5408,0.4427,0.1742,5.2435,33.8511,1.0276,6.4558,0.196,0.0304,1.9637,5.3499,-113.2678,2.7245,-57.6822,-21.1721,6.1019,11.0568,0.918,1.812,0.1504,0.083,3.1546,7.5068,1.6598,2.3796,0.5261,0.2211,0.0005,1.1406,-0.7437,-0.6196,0.2511,0.3311,-0.3776,-0.3309,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.8599,4.3788,2.0926,8.5414,-0.5349,-1.0197,26.1332,5.1121,17.1922,-0.5831,0.9067,24.3454,4.9341,16.0907,-0.6688,7.2157,8.1121,2.8482,12.5277,0.0582,-1.8239,2.0513,0.2578,-1.1247,-0.1413,0.1257,0.4093,0.4241,0.7347,1.0361,1.7949,1.7324,0.1676,0.1799,0.5398,1.0734,3.2215,3.0011,0.47,0.4616,-3.8465,0.982,-8.1833,-8.3335,0.5124,0.5771,0.4184,1.1263,0.8164,0.7249,0.4968,0.5308,0.6818,1.0685,1.3723,1.2844,0.0481,11.0223,-0.5273,-0.0987,-0.1105,0.7983,0.4589,0.4648,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0305,0.49,0.7,6.2662,-0.5739,0.1253,0.1049,0.3238,1.8109,-1.7774,0.045,0.0113,0.1063,0.6189,-0.3198,0.444,0.4276,0.6539,4.15,0.0055,0.2432,0.6775,0.0686,2.7858,0.2821,0.1013,2.1616,6.5825,1.0704,3.0452,0.4952,0.1626,4.6726,43.3287,1.1459,9.273,0.2452,0.0264,1.9715,15.2356,-99.1353,7.7277,-50.283,-6.5068,6.1061,8.4902,0.9541,1.3904,0.1562,0.1124,3.4602,10.1246,1.5099,2.926,0.4364,0.1491,0.0028,0.5938,-0.3334,0.2259,0.412,-0.8605,-0.4727,0.6145,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.3809,7.247,2.692,9.1035,-0.9447,-0.7687,9.1717,3.0285,10.2053,-0.9823,-0.464,6.5223,2.5539,12.1455,-1.241,4.85,2.1311,1.4598,6.3598,0.2023,-1.7964,-2.9758,0.2847,1.6565,-0.1585,-0.0957,0.8889,1.0541,1.8441,1.1858,2.0745,1.7494,0.7901,1.1111,3.4005,1.4062,4.3037,3.0605,0.8745,0.6575,-2.7414,0.7519,-3.1349,-4.1694,0.9093,0.8637,0.5871,0.9499,0.6457,0.6798,0.892,0.7495,1.4314,0.8402,1.6047,1.9097,0.0343,7.4166,-0.6917,-0.4139,-0.1944,0.316,-0.1367,-0.1316,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
