@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.0409,0.011,0.1048,0.598,-2.3515,0.0366,0.0188,0.1371,0.6685,-0.6456,0.0182,0.0148,0.1218,0.6914,-0.6918,0.1877,0.0127,0.1128,0.5699,0.0241,-1.1157,-2.2501,-0.2178,2.0167,0.1952,0.0968,0.7641,0.8599,0.9286,1.1254,1.2154,1.08,0.5838,0.7394,0.8623,1.2665,1.4772,1.1663,1.5998,1.484,-29.814,0.9276,-18.6358,-20.0903,0.4392,0.4366,0.3055,0.9939,0.6956,0.6998,0.8946,0.8649,1.0493,0.9668,1.1729,1.2132,0.0003,0.2933,-0.784,-0.0198,-0.4918,0.6331,0.4933,0.1812,?,?,?,?,?,DIETRO_PANTALONI
-0.0369,0.0115,0.1074,0.7505,-1.8162,0.0592,0.0185,0.1358,0.8348,-0.4695,0.0119,0.0147,0.1214,0.6929,-0.8698,0.1904,0.0135,0.1161,0.7285,0.0285,-0.6234,-3.1142,-0.1939,4.9958,0.311,0.0623,0.791,0.8854,0.9255,1.1194,1.1701,1.0453,0.6256,0.7839,0.8565,1.253,1.3691,1.0927,1.8146,1.5016,-22.6274,0.8275,-12.4697,-15.0691,0.4691,0.7191,0.3554,1.533,0.7576,0.4942,0.899,1.0831,1.0302,1.2048,1.146,0.9512,0.0004,0.2962,-0.6033,0.1913,-0.1936,0.6631,0.4905,0.4354,?,?,?,?,?,DIETRO_PANTALONI
-0.1912,0.0157,0.1252,0.6934,-4.2461,0.2248,0.0323,0.1798,0.9027,-0.1993,0.0377,0.017,0.1305,0.5577,-0.7019,0.3423,0.0364,0.1907,0.9177,0.0414,-0.8504,-5.0761,-0.5585,5.9691,0.6568,0.11,0.6961,0.959,0.6564,1.3777,0.943,0.6845,0.4845,0.9197,0.4309,1.8982,0.8893,0.4685,3.7412,2.4399,-14.1435,0.6522,-3.7805,-5.7968,0.1756,0.4033,0.1381,2.2968,0.7862,0.3423,0.7681,1.2432,0.7556,1.6185,0.9837,0.6077,0.0016,0.5444,-0.8641,-0.2037,-0.8916,0.6616,0.9486,0.5344,?,?,?,?,?,DIETRO_PANTALONI
-0.0231,2.7491,1.658,8.7668,-1.6432,-0.2842,6.2622,2.5024,13.7124,-0.6077,-0.1945,2.7233,1.6503,7.2669,-1.5747,2.9073,3.4011,1.8442,8.9951,0.0052,0.0814,0.1189,-0.008,1.4613,-0.0977,-0.0669,0.6626,1.0047,0.8991,1.5164,1.3569,0.8948,0.439,1.0095,0.8083,2.2995,1.8412,0.8007,1.0514,1.2263,-115.2893,1.1663,-109.6485,-94.0163,0.3889,1.1751,0.3668,3.0218,0.9432,0.3121,0.6393,1.2064,0.9746,1.887,1.5244,0.8079,0.0018,4.3211,-0.1314,0.4098,-0.3203,0.4414,0.2273,0.0007,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.0674,2.5958,1.6111,7.6347,-1.3433,-0.0852,3.4605,1.8602,8.8977,-0.9202,-0.1834,1.7282,1.3146,6.2609,-1.1764,2.5868,1.1382,1.0669,5.1073,0.0422,0.7913,0.3675,-0.0261,0.4645,-0.0329,-0.0709,0.8661,1.2256,1.5101,1.415,1.7436,1.2322,0.7501,1.502,2.2805,2.0023,3.0402,1.5183,1.0264,1.2932,-19.446,1.2599,-18.945,-15.0366,0.7031,1.1326,0.611,1.6108,0.869,0.5395,0.8581,1.2194,1.4949,1.4212,1.7421,1.2259,0.0011,3.9292,-0.1452,0.3425,-0.299,0.3325,-0.2574,-0.1514,?,?,?,?,?,TASCA_GIACCA_ALTA
0.013,5.142,2.2676,14.1918,-1.0724,-0.5472,6.845,2.6163,19.6942,-3.1864,-0.3367,3.0778,1.7544,8.5168,-1.0189,3.3043,4.5592,2.1352,15.243,0.0047,-0.0237,-0.0385,0.0039,1.6253,-0.1656,-0.1019,0.8667,1.2926,1.062,1.4913,1.2253,0.8216,0.7512,1.6707,1.1278,2.224,1.5014,0.6751,0.4899,1.7086,-101.6027,3.4874,-207.3856,-59.4669,1.4557,1.6233,0.4471,1.1151,0.3072,0.2754,0.7206,1.6663,0.931,2.3124,1.292,0.5587,0.0033,4.954,0.0769,0.5217,-0.3622,0.2154,-0.353,-0.2822,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.0231,2.7491,1.658,8.7668,-1.6432,-0.2842,6.2622,2.5024,13.7124,-0.6077,-0.1945,2.7233,1.6503,7.2669,-1.5747,2.9073,3.4011,1.8442,8.9951,0.0052,0.0814,0.1189,-0.008,1.4613,-0.0977,-0.0669,0.6626,1.0047,0.8991,1.5164,1.3569,0.8948,0.439,1.0095,0.8083,2.2995,1.8412,0.8007,1.0514,1.2263,-115.2893,1.1663,-109.6485,-94.0163,0.3889,1.1751,0.3668,3.0218,0.9432,0.3121,0.6393,1.2064,0.9746,1.887,1.5244,0.8079,0.0018,4.3211,-0.1314,0.4098,-0.3203,0.4414,0.2273,0.0007,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.0674,2.5958,1.6111,7.6347,-1.3433,-0.0852,3.4605,1.8602,8.8977,-0.9202,-0.1834,1.7282,1.3146,6.2609,-1.1764,2.5868,1.1382,1.0669,5.1073,0.0422,0.7913,0.3675,-0.0261,0.4645,-0.0329,-0.0709,0.8661,1.2256,1.5101,1.415,1.7436,1.2322,0.7501,1.502,2.2805,2.0023,3.0402,1.5183,1.0264,1.2932,-19.446,1.2599,-18.945,-15.0366,0.7031,1.1326,0.611,1.6108,0.869,0.5395,0.8581,1.2194,1.4949,1.4212,1.7421,1.2259,0.0011,3.9292,-0.1452,0.3425,-0.299,0.3325,-0.2574,-0.1514,?,?,?,?,?,TASCA_GIACCA_ALTA
0.013,5.142,2.2676,14.1918,-1.0724,-0.5472,6.845,2.6163,19.6942,-3.1864,-0.3367,3.0778,1.7544,8.5168,-1.0189,3.3043,4.5592,2.1352,15.243,0.0047,-0.0237,-0.0385,0.0039,1.6253,-0.1656,-0.1019,0.8667,1.2926,1.062,1.4913,1.2253,0.8216,0.7512,1.6707,1.1278,2.224,1.5014,0.6751,0.4899,1.7086,-101.6027,3.4874,-207.3856,-59.4669,1.4557,1.6233,0.4471,1.1151,0.3072,0.2754,0.7206,1.6663,0.931,2.3124,1.292,0.5587,0.0033,4.954,0.0769,0.5217,-0.3622,0.2154,-0.353,-0.2822,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.2367,3.2921,1.8144,8.6615,-1.2708,-1.1836,6.5819,2.5655,12.8385,-2.3279,-1.0003,2.2662,1.5054,7.2129,-1.8394,3.249,4.0414,2.0103,9.3016,0.0609,0.2,0.2366,-0.0728,1.1832,-0.3643,-0.3079,0.7072,1.2053,0.9026,1.7042,1.2762,0.7488,0.5002,1.4527,0.8146,2.9045,1.6286,0.5607,0.5397,1.0374,-8.0412,1.922,-14.8982,-7.7516,0.9887,1.5015,0.3851,1.5187,0.3895,0.2565,0.6747,1.2008,0.9312,1.7799,1.3802,0.7755,0.0083,4.9514,-0.4235,-0.259,0.2546,0.614,-0.7769,-0.7224,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.814,3.6359,1.9068,9.9979,-2.3658,-1.1935,3.136,1.7709,8.8562,-1.5121,-0.7561,3.4607,1.8603,8.2791,-2.6538,3.1447,3.0023,1.7327,8.1594,0.0301,0.682,1.0766,-0.2589,1.5786,-0.3795,-0.2404,1.0768,1.025,1.1005,0.9519,1.022,1.0736,1.1594,1.0506,1.2111,0.9062,1.0445,1.1527,1.3183,1.1687,-27.729,0.8865,-21.034,-23.7272,0.8426,1.3109,0.3531,1.5559,0.4191,0.2693,1.1289,1.2076,1.2253,1.0697,1.0854,1.0147,0.0084,4.7852,-0.1821,-0.454,-0.099,0.8128,-0.5886,-0.5543,?,?,?,?,?,TASCA_GIACCA_ALTA
0.1175,0.0044,0.0664,0.3124,-0.2526,0.0183,0.0278,0.1667,0.7949,-0.9647,0.007,0.0054,0.0734,0.433,-1.2248,0.21,0.0077,0.0877,0.3921,0.1081,6.4253,16.8086,0.5596,2.616,0.0871,0.0333,0.398,0.9045,0.7568,2.2727,1.9016,0.8367,0.1584,0.8181,0.5728,5.165,3.6161,0.7001,0.1614,0.2642,-1.3249,1.6374,-8.2107,-5.0146,0.6164,1.2813,0.5672,2.0788,0.9203,0.4427,0.3929,0.7214,0.7966,1.8358,2.0274,1.1043,0.0006,0.3106,-0.1767,0.4931,0.4402,0.157,-0.073,0.073,?,?,?,?,?,TASCA_GIACCA_ALTA
0.1094,0.0075,0.0868,0.4369,-0.2846,0.0025,0.063,0.2511,1.3603,-0.44,0.0075,0.0109,0.1046,0.5623,-0.6458,0.2683,0.0216,0.1469,0.9019,0.05,43.7075,14.5218,0.4077,0.3322,0.0093,0.0281,0.3458,0.8299,0.5909,2.3997,1.7087,0.7121,0.1196,0.6887,0.3492,5.7584,2.9198,0.507,0.2329,0.4387,-2.0385,1.8836,-8.7534,-4.6472,0.3601,0.9955,0.3583,2.7648,0.995,0.3599,0.3212,0.777,0.4845,2.419,1.5083,0.6235,0.0006,0.3851,0.0212,0.4732,0.2692,-0.0179,0.4182,0.0895,?,?,?,?,?,TASCA_GIACCA_ALTA
0.4299,1.471,1.2129,5.7641,-0.5887,-0.3219,16.5763,4.0714,17.7962,-0.6256,-0.2479,1.819,1.3487,7.8309,-1.506,3.8321,5.5313,2.3519,10.8713,0.0084,-1.3358,-1.7345,0.1122,1.2985,-0.084,-0.0647,0.2979,0.8993,0.5157,3.0188,1.7311,0.5735,0.0887,0.8087,0.2659,9.113,2.9968,0.3288,0.3119,0.4539,-23.2973,1.4553,-74.698,-51.3295,0.3314,1.1611,0.3309,3.5035,0.9986,0.285,0.3239,0.7361,0.5302,2.2726,1.637,0.7203,0.0031,5.3066,0.0759,-0.0382,0.2979,0.581,0.4382,0.1693,?,?,?,?,?,TASCA_GIACCA_BASSA
